primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_LHUYvwY2Aq1,Chipo,Lungu,NATIONAL_REGISTRAR,+260911111111,c.lungu,kalushabwalya17@gmail.com,test
CRVS_OFFICE_LHUYvwY2Aq1,Mutale,Musonda,PERFORMANCE_MANAGER,+260922222222,m.musonda,kalushabwalya17+@gmail.com,test
CRVS_OFFICE_LHUYvwY2Aq1,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+260933333333,j.campbell,kalushabwalya1.7@gmail.com,test
CRVS_OFFICE_Ov8OIeilmwj,Bastien,Moreau,EMBASSY_OFFICIAL,+260921681112,b.moreau,kalushabwalya.17@gmail.com,test
CRVS_OFFICE_QrJy3W76BGd,Sarah,Jenkins,EMBASSY_OFFICIAL,+260915151516,s.jenkins,kalus.habwalya17@gmail.com,test
CRVS_OFFICE_eF8mK8JAMKZ,Mitchel,Owen,PROVINCIAL_REGISTRAR,+260921111111,m.owen,kalushabwaly.a17@gmail.com,test
CRVS_OFFICE_eF8mK8JAMKZ,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,+260912121212,e.mayuka,kalushabwal.ya17@gmail.com,test
CRVS_OFFICE_xmJJAsGfSTn,Kennedy,Mweene,LOCAL_REGISTRAR,+260923232323,k.mweene,kalushabwa.lya17@gmail.com,test
CRVS_OFFICE_xmJJAsGfSTn,Felix,Katongo,REGISTRATION_AGENT,+260934343434,f.katongo,kalushabw.alya17@gmail.com,test
CRVS_OFFICE_t0qT1Vh8qi3,Kalusha,Bwalya,HOSPITAL_CLERK,+260978787878,k.bwalya,kalushab.walya17@gmail.com,test
CRVS_OFFICE_PmAyxAJkxiJ,Gift,Phiri,COMMUNITY_LEADER,+260922222223,g.phiri,kalushabwalya17+2@gmail.com,test
CRVS_OFFICE_eVjED8aCu1H,Memory,Zulu,COMMUNITY_LEADER,+260933333334,m.zulu,kalushabwalya17+3@gmail.com,test
CRVS_OFFICE_nXbOqc9PhWF,Brighton,Chimba,COMMUNITY_LEADER,+260921681113,b.chimba,kalushabwalya17+4@gmail.com,test
